,Trainsize,Devsize,Lr,Hidden,steps,batchsize,anneal,Accuracy,acc0,acc1,acc2,acc3,acc4,acc5,acc6,acc7,acc8,acc9,acc10,,,,
0,25000,1000,0.5,50,5,25,10,0.676682692,0.67032967,0.505494505,0.769230769,0.747252747,0.67032967,0.714285714,0.725274725,0.631578947,0.627118644,0.827586207,0.548387097,,,,
0,25000,1000,0.5,50,10,25,10,0.676682692,0.67032967,0.505494505,0.769230769,0.747252747,0.67032967,0.714285714,0.725274725,0.631578947,0.627118644,0.827586207,0.548387097,,,,
0,25000,1000,0.5,50,0,25,5,0.707932692,0.736263736,0.571428571,0.747252747,0.747252747,0.714285714,0.703296703,0.78021978,0.631578947,0.711864407,0.862068966,0.612903226,,,,
0,25000,1000,0.5,50,1,25,5,0.697115385,0.648351648,0.56043956,0.78021978,0.747252747,0.681318681,0.714285714,0.758241758,0.657894737,0.711864407,0.896551724,0.548387097,,,,
0,25000,1000,0.5,50,2,25,5,0.686298077,0.681318681,0.538461538,0.791208791,0.747252747,0.681318681,0.714285714,0.725274725,0.631578947,0.627118644,0.862068966,0.548387097,,,,
0,25000,1000,0.5,50,5,25,5,0.679086538,0.681318681,0.527472527,0.769230769,0.747252747,0.659340659,0.714285714,0.725274725,0.631578947,0.610169492,0.862068966,0.548387097,,,,
0,25000,1000,0.5,50,10,25,5,0.679086538,0.681318681,0.527472527,0.769230769,0.747252747,0.659340659,0.714285714,0.725274725,0.631578947,0.610169492,0.862068966,0.548387097,,,,
Only training 2 distance,,,Change to BPTT function,,,,,,,,,,,,,,,,,,,,
0,25000,1000,0.5,50,0,25,5,0.707932692,0.736263736,0.571428571,0.747252747,0.747252747,0.714285714,0.703296703,0.78021978,0.631578947,0.711864407,0.862068966,0.612903226,,,,
0,25000,1000,0.5,50,1,25,5,0.697115385,0.648351648,0.56043956,0.78021978,0.747252747,0.681318681,0.714285714,0.758241758,0.657894737,0.711864407,0.896551724,0.548387097,,,,
0,25000,1000,0.5,50,2,25,5,0.680288462,0.681318681,0.527472527,0.791208791,0.747252747,0.681318681,0.703296703,0.714285714,0.631578947,0.627118644,0.827586207,0.516129032,,,,
0,25000,1000,0.5,50,5,25,5,0.680288462,0.681318681,0.43956044,0.725274725,0.736263736,0.714285714,0.692307692,0.769230769,0.644736842,0.677966102,0.896551724,0.580645161,,,,
